Transaction_ID,Date,Year,Month,Quarter,Customer_ID,Bank,Branch,Sector,Transaction_Type,Debit_Credit,Amount_NGN,Account_Balance_NGN,Interest_Rate_pct,NPL_Flag,Exchange_Rate_USD,Outlier_Flag
TXN001520,2022-01-01,2022,January,Q1,CUST1020,GTBank,Branch_10,Government,Transfer,Debit,1648469.75,0.0,14.82,No,1273.12,No
TXN001425,2022-01-01,2022,January,Q1,CUST1054,FirstBank Nigeria,Branch_13,Retail,Deposit,Credit,1893600.83,1893600.83,23.17,No,1369.44,No
TXN000890,2022-01-01,2022,January,Q1,CUST1336,GTBank,Branch_18,Retail,Interest Credit,Credit,1892456.12,5988003.27,15.37,No,1128.18,No
TXN001294,2022-01-01,2022,January,Q1,CUST1153,FirstBank Nigeria,Branch_20,Individual,Interest Credit,Credit,1336406.28,3416696.16,9.47,Yes,1565.38,No
TXN000312,2022-01-03,2022,January,Q1,CUST1402,FirstBank Nigeria,Branch_16,Government,POS Payment,Debit,1465302.7,0.0,23.91,No,1499.51,No
TXN000611,2022-01-03,2022,January,Q1,CUST1360,FirstBank Nigeria,Branch_20,SME,POS Payment,Debit,1062075.19,1135144.83,11.14,No,1211.07,No
TXN001574,2022-01-03,2022,January,Q1,CUST1174,Access Bank,Branch_09,Corporate,Loan Repayment,Debit,217378.24,0.0,11.32,No,1341.62,No
TXN001600,2022-01-06,2022,January,Q1,CUST1025,Zenith Bank,Branch_17,Government,Loan Repayment,Debit,3450080502.65,0.0,11.99,No,983.82,Yes
TXN001782,2022-01-06,2022,January,Q1,CUST1489,Access Bank,Branch_14,Individual,Wire Transfer,Credit,291347.65,291347.65,10.66,No,1189.43,No
TXN000865,2022-01-07,2022,January,Q1,CUST1096,Zenith Bank,Branch_15,SME,Deposit,Credit,1746932.27,4759408.3,23.92,Yes,948.52,No
TXN001173,2022-01-07,2022,January,Q1,CUST1325,Zenith Bank,Branch_03,Individual,Interest Credit,Credit,701694.21,1787294.39,11.99,No,1231.26,No
TXN000650,2022-01-09,2022,January,Q1,CUST1087,FirstBank Nigeria,Branch_06,Individual,Loan Repayment,Debit,1702667.97,878412.41,14.52,No,1123.72,No
TXN000772,2022-01-09,2022,January,Q1,CUST1001,FirstBank Nigeria,Branch_13,Government,Transfer,Debit,1111803.41,1951691.0,18.73,No,1207.41,No
TXN001849,2022-01-10,2022,January,Q1,CUST1007,Access Bank,Branch_11,Retail,Interest Credit,Credit,1754574.49,2321875.04,16.41,No,1344.26,No
TXN001015,2022-01-10,2022,January,Q1,CUST1009,Access Bank,Branch_17,Corporate,Interest Credit,Credit,1683364.91,1683364.91,13.15,No,783.25,No
TXN001208,2022-01-11,2022,January,Q1,CUST1139,Access Bank,Branch_15,Retail,Loan Repayment,Debit,1564210.13,199206.07,17.99,No,1259.22,No
TXN000188,2022-01-11,2022,January,Q1,CUST1070,UBA,Branch_07,Government,Transfer,Debit,1305959.15,1808278.16,22.23,No,1392.52,No
TXN001631,2022-01-11,2022,January,Q1,CUST1155,UBA,Branch_18,Corporate,Wire Transfer,Credit,685547.26,2983629.09,10.01,No,1376.16,No
TXN001724,2022-01-11,2022,January,Q1,CUST1466,UBA,Branch_20,Government,POS Payment,Debit,165754.31,0.0,18.55,No,1168.88,No
TXN000144,2022-01-11,2022,January,Q1,CUST1240,FirstBank Nigeria,Branch_20,SME,Deposit,Credit,431701.66,2702278.96,8.34,No,1198.61,No
TXN001605,2022-01-11,2022,January,Q1,CUST1378,Zenith Bank,Unknown,Corporate,Interest Credit,Credit,1095181.6,4110117.07,14.5,No,1188.31,No
TXN000913,2022-01-12,2022,January,Q1,CUST1181,Zenith Bank,Branch_11,Retail,Loan Repayment,Debit,379539.35,3368561.54,6.26,No,1515.85,No
TXN000393,2022-01-13,2022,January,Q1,CUST1273,UBA,Branch_17,Individual,Withdrawal,Debit,,3869639.39,21.62,No,840.22,No
TXN001884,2022-01-13,2022,January,Q1,CUST1384,GTBank,Branch_20,Government,Loan Repayment,Debit,1400997.86,0.0,8.7,No,1366.72,No
TXN000220,2022-01-14,2022,January,Q1,CUST1337,UBA,Branch_10,Retail,POS Payment,Debit,33943.93,2430935.27,19.22,No,764.57,No
TXN000003,2022-01-14,2022,January,Q1,CUST1142,GTBank,Branch_04,SME,POS Payment,Debit,556103.75,3500577.01,9.59,No,828.83,No
TXN001272,2022-01-15,2022,January,Q1,CUST1008,Access Bank,Branch_10,Government,POS Payment,Debit,1923156.73,0.0,7.4,No,1461.05,No
TXN000559,2022-01-16,2022,January,Q1,CUST1115,UBA,Branch_19,Corporate,Wire Transfer,Credit,1424403.93,2394069.55,10.62,No,1168.88,No
TXN000559,2022-01-16,2022,January,Q1,CUST1115,UBA,Branch_19,Corporate,Wire Transfer,Credit,1424403.93,2394069.55,10.62,No,1061.92,No
TXN001117,2022-01-16,2022,January,Q1,CUST1458,UBA,Branch_19,Government,ATM Withdrawal,Debit,759059.47,4457142.31,13.83,No,987.4,No
TXN001127,2022-01-17,2022,January,Q1,CUST1449,GTBank,Branch_09,Individual,Transfer,Debit,752730.01,2396369.93,23.42,No,1149.6,No
TXN001913,2022-01-17,2022,January,Q1,CUST1011,UBA,Branch_11,Individual,ATM Withdrawal,Debit,1834171.53,1808278.16,11.32,No,907.56,No
TXN000029,2022-01-17,2022,January,Q1,CUST1413,UBA,Branch_04,Retail,Interest Credit,Credit,1877890.54,5165073.31,8.05,No,1381.05,No
TXN000774,2022-01-18,2022,January,Q1,CUST1090,FirstBank Nigeria,Branch_01,SME,Wire Transfer,Credit,1872527.57,6666674.44,13.95,No,1394.66,No
TXN001044,2022-01-18,2022,January,Q1,CUST1496,Access Bank,Branch_18,Government,Transfer,Debit,1362005.67,4892150.3,15.44,No,1314.67,No
TXN000881,2022-01-19,2022,January,Q1,CUST1100,Zenith Bank,Branch_06,Corporate,Withdrawal,Debit,753423.31,1750325.57,24.17,No,1537.09,No
TXN000387,2022-01-19,2022,January,Q1,CUST1287,FirstBank Nigeria,Branch_08,Government,ATM Withdrawal,Debit,481075.58,782017.31,17.7,No,1565.06,No
TXN000268,2022-01-20,2022,January,Q1,CUST1227,FirstBank Nigeria,Branch_03,Retail,ATM Withdrawal,Debit,1976315.74,975490.77,13.52,No,944.6,No
TXN001893,2022-01-21,2022,January,Q1,CUST1358,GTBank,Branch_05,Corporate,Deposit,Credit,72713.3,7108573.51,9.45,Yes,936.16,No
